address,databaseID,price,bedrooms,bathroom,sqft,zip,lat,lng,ancherRating,jamesRating
2005-Maryland-Ave-Bluefield-WV-24701,5e7691818767fc5cb8849bb2,119900,4,2,2568,24701,37.2490813,-81.2306319,unsure,rich
398-Route-112-Bluefield-WV-24701,5e7695c28767fc5cb8849bc3,12879,--,--,--,24701,37.2928002,-81.1521566,useless,useless
130-Woodland-Dr-1050-Leesburg-FL-34788,5e9ea0356958536158e47d83,49900,2,2,1248,34788,28.8717301,-81.7663643,medium,medium
109-Creekside-Ct-Bluefield-WV-24701,5e7690ec8767fc5cb8849bb0,210000,2,2,1360,24701,37.3634687,-81.0947466,rich,rich
1127-Skating-Rink-Hollow-Rd-Bluefield-WV-24701,5e768f868767fc5cb8849bab,164900,5,3,2906,24701,37.3402937,-81.2341757,rich,unsure
129-Sea-Fern-Ct-Leesburg-FL-34788,5e7c78a5ccaa4a3ba0beb58b,43500,2,2,1372,34788,28.829511,-81.782484,poor,medium
31501-S-Highway-125-11-Monkey-Island-OK-74331,5e7ce4d9ccaa4a3ba0beb7ee,749000,6,6,6092,74331,36.6089657,-94.8769014,unsure,rich
33092-Browning-Ln-Afton-OK-74331,5e7cc6dfccaa4a3ba0beb752,785000,4,4,5049,74331,36.5357111,-94.9670366,rich,rich
3204-Ridgecrest-Rd-Bluefield-WV-24701,5e7688d5296aca10dcc744b2,89900,3,2,1328,24701,37.2576672,-81.1993143,medium,medium
910-Lisa-Cir-Leesburg-FL-34788,5e9e9ef16958536158e47d7b,67500,2,2,784,34788,28.8689726,-81.7859858,unsure,unsure
3508-Brushfork-Rd-Bluefield-WV-24701,5e7685a2b569530e2c77cd0e,92500,2,2,1540,24701,37.2840763,-81.2549163,medium,medium
642-Augusta-St-Bluefield-WV-24701,5e7691598767fc5cb8849bb1,90000,3,2,1689,24701,37.2541832,-81.224843,medium,medium
1748-Meadow-Rd-Lumberton-NC-28358,5e79ac8b1f19d194c8a0234d,1942000,4,1,--,28358,34.6653118,-78.9748695,useless,useless
355-Newgate-St-Lumberton-NC-28358,5e79a3de1f19d194c8a0232b,279999,4,4,3301,28358,34.6476066,-79.0027174,rich,rich
34320-S-Coves-Dr-Afton-OK-74331,5e7cd3f6ccaa4a3ba0beb794,749000,5,5,3123,74331,36.5196167,-94.9616375,rich,rich
400-Cambridge-Blvd-Lumberton-NC-28358,5e79ac4e1f19d194c8a0234c,409000,6,5,3638,28358,34.6656802,-78.9930449,rich,rich
34127-Washington-Ave-Leesburg-FL-34788,5e9e9fda6958536158e47d81,79000,2,2,1104,34788,28.8465893,-81.7768864,unsure,medium
7100-Ulmerton-Rd-LOT-611-Largo-FL-33771,5e766ab69d58b73c345e63f2,61000,2,2,960,33771,27.8890193,-82.7410826,medium,medium
1071-Donegan-Rd-LOT-171-Largo-FL-33771,5e767f6a9d58b73c345e645f,49500,2,2,1152,33771,27.9074408,-82.7781223,useless,useless
30300-S-555-Rd-UNIT-16-Monkey-Island-OK-74331,5e7ccefaccaa4a3ba0beb77a,739000,4,3,2037,74331,36.5830171,-94.8800561,rich,rich
305-Oxford-Rd-Lumberton-NC-28358,5e79a4c41f19d194c8a0232d,399990,6,4,3735,28358,34.6645334,-78.9973292,rich,rich
34789-Ridge-Rd-Afton-OK-74331,5e7cdfc2ccaa4a3ba0beb7d6,725000,5,6,4931,74331,36.5288336,-94.9693935,rich,rich
1520-SE-23rd-St-Okeechobee-FL-34974,5e7a2d791f19d194c8a0256e,375000,3,3,2538,34974,27.2227101,-80.812842,rich,rich
5102-Willow-Oak-Dr-Lumberton-NC-28358,5e9d834c590ccc52909b8cef,379500,3,4,3585,28358,34.6623097,-78.9886058,rich,rich
30700-S-563-Rd-4-Monkey-Island-OK-74331,5e9ea6406958536158e47d9a,699500,4,4,2985,74331,36.5765781,-94.8631037,rich,rich
4902-Live-Oak-Ln-Lumberton-NC-28358,5e9d81fc590ccc52909b8ce8,360000,4,4,3125,28358,34.6597375,-78.9875457,rich,rich
1607-Linden-Ln-Lumberton-NC-28358,5e79a7601f19d194c8a02338,286500,3,3,2466,28358,34.6575269,-78.9838635,rich,rich
7995-SW-13th-St-Okeechobee-FL-34974,5e7a3c421f19d194c8a025b5,599000,4,5,3393,34974,27.2317,-80.9112169,rich,rich
57425-E-Highway-125-210-Monkey-Island-OK-74331,5e7cdececcaa4a3ba0beb7d2,699000,3,3,2695,74331,36.5613321,-94.8446226,rich,rich
7255-SW-19th-Ct-Okeechobee-FL-34974,5e7a41281f19d194c8a025ca,459900,3,2,1827,34974,27.2275295,-80.904549,rich,rich
453935-E-Dragon-Fly-Pl-Afton-OK-74331,5e7cce2accaa4a3ba0beb776,695000,4,4,3540,74331,36.5520322,-94.9171568,rich,rich
4020-N-Walnut-St-Lumberton-NC-28358,5e79a41a1f19d194c8a0232c,269000,3,2,2000,28358,34.6495486,-79.0031811,rich,rich
210-Baymeadow-Bnd-Lumberton-NC-28358,5e9d7f12590ccc52909b8cdb,268500,3,2,--,28358,34.6562981,-78.9840444,rich,rich
108-Oak-Pointe-Cir-Lumberton-NC-28358,5e79a2361f19d194c8a02322,199500,3,2,--,28358,34.6222939,-78.9788265,useless,useless
1102-Spanish-Oak-Ln-Lumberton-NC-28358,5e79a6c61f19d194c8a02335,254900,4,3,3112,28358,34.661234,-78.992029,unsure,rich
204-Londonderry-Dr-Lumberton-NC-28358,5e79a2651f19d194c8a02323,198500,3,2,1986,28358,34.6671203,-78.9919848,unsure,rich
